LAT,LON,GID,RTE_DEFN_LN_NM,RTE_DFO,ROUTEID,ROUTENUMBER,RTE_PRFX_TYPE_DSCR,RDBD_TYPE_DSCR,RMRKR_PNT_NBR,RMRKR_DISPLACEMENT,CTRL_SECT_LN_NBR,CTRL_SECT_MPT,MSG,distance
30.167627,-96.396403,245142,1031991,0.109,207265,1031991,Single Roadbed,Local City Street,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",116.022709
30.167627,-96.396403,6812,SH0105-KG,0,154061,105,Single Roadbed,State Highway,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",116.8332524
30.167627,-96.396403,245078,1031927,0,207201,1031927,Single Roadbed,Local City Street,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",119.605282
30.145181,-96.251184,1566233517,FM2447-KG,1.917,174352,2447,Single Roadbed,Farm to Market,444,1.901,129901,11.985,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",122.0675482
30.943189,-97.536868,1599253138,1209801,0.021,379452,1209801,Single Roadbed,Local City Street,,,LU4048,0.021,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",126.1214161
30.943189,-97.536868,1599253123,FM2268-KG,1.006,174175,2268,Single Roadbed,Farm to Market,546,0.912,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",133.6849183
28.522022,-99.860027,7594,US0277-KG,490.565,154753,277,Single Roadbed,US Highway,650,1.05,30003,19.126,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",108.9579791
28.522022,-99.860027,7144,SL0225-KG,0.334,154380,225,Single Roadbed,State Loop,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",125.8201083
28.522022,-99.860027,252729,1039344,0.021,214443,1039344,Single Roadbed,Local City Street,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",139.6438449
32.010488,-97.131229,335341,1117842,0.483,290609,1117842,Single Roadbed,Local City Street,,,LL4889,0.483,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",39.52381476
32.010488,-97.131229,6686,SH0022-KG,70.217,154157,22,Single Roadbed,State Highway,582,1.291,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",103.6149634
32.010488,-97.131229,335307,1117812,0,290579,1117812,Single Roadbed,Local City Street,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",120.1898754
32.012273,-97.129923,1631664058,SH0081-KG,19.952,154294,81,Single Roadbed,State Highway,338,1.07,1406,17.051,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",69.4956444
32.012273,-97.129923,335242,1117751,0.011,290518,1117751,Single Roadbed,Local City Street,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",89.44597738
32.012273,-97.129923,498554,1117864,0.405,290630,1117864,Single Roadbed,Local City Street,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",108.9821561
32.01289,-97.135097,498555,1117864,0.228,290630,1117864,Single Roadbed,Local City Street,,,LL4910,0.228,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",121.5380354
32.01289,-97.135097,1634256444,SH0171-KG,68.072,154118,171,Single Roadbed,State Highway,338,1.159,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",143.5360041
32.010479,-97.130594,6686,SH0022-KG,70.255,154157,22,Single Roadbed,State Highway,582,1.329,12102,19.113,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",106.887298
32.010479,-97.130594,1631664058,SH0081-KG,20.074,154294,81,Single Roadbed,State Highway,338,1.192,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",132.8461728
32.010474,-97.130277,1631664058,SH0081-KG,20.075,154294,81,Single Roadbed,State Highway,338,1.193,1407,17.229,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",34.82030138
32.010474,-97.130277,6686,SH0022-KG,70.273,154157,22,Single Roadbed,State Highway,582,1.347,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",108.7054487
32.010474,-97.130277,335240,1117750,0,290517,1117750,Single Roadbed,Local City Street,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",138.1668075
32.009933,-97.130288,335367,1117866,0.541,290632,1117866,Single Roadbed,Local City Street,,,LL4912,0.541,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",37.02566617
32.009933,-97.130288,1631664058,SH0081-KG,20.113,154294,81,Single Roadbed,State Highway,338,1.231,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",40.60162387
32.009933,-97.130288,335244,1117753,0,290520,1117753,Single Roadbed,Local City Street,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",59.33115363
29.79476,-98.732217,1599259022,US0087-KG,620.89,154782,87,Single Roadbed,US Highway,658,0.894,7214,24.419,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",1.116578883
29.79476,-98.732217,243248,1030243,0.135,205551,1030243,Single Roadbed,Local City Street,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",102.5117351
29.79476,-98.732217,6469,RM0474-KG,15.732,154026,474,Single Roadbed,Ranch to Market,476,1.912,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",106.0771141
32.744318,-97.33804,1636502478,SH0199-KG,53.288,154141,199,Single Roadbed,State Highway,566,5.267,17105,16.626,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",146.7444463
32.736566,-96.276944,9977,US0080-LG,24.642,154776,80,Left Roadbed,US Highway,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",60.19711194
32.736566,-96.276944,7529,US0080-KG,24.586,154776,80,Single Roadbed,US Highway,686,1.027,9505,15.078,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",76.29219494
32.736566,-96.276944,469385,1239872,0.01,408826,1239872,Single Roadbed,Local City Street,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",94.47500209
32.736566,-96.276944,9989,US0080-RG,24.721,154776,80,Right Roadbed,US Highway,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",96.91705506
32.736566,-96.276944,469434,1239919,1.015,408871,1239919,Single Roadbed,Local City Street,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",134.3192299
30.143675,-96.252471,1566233517,FM2447-KG,1.8,174352,2447,Single Roadbed,Farm to Market,444,1.784,129901,11.867,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",77.78345388
30.142594,-96.265473,1566233517,FM2447-KG,0.994,174352,2447,Single Roadbed,Farm to Market,444,0.978,129901,11.062,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",89.85511219
30.14333,-96.266179,,,,,,,,,,,,,
30.143422,-96.253308,1566233517,FM2447-KG,1.724,174352,2447,Single Roadbed,Farm to Market,444,1.708,129901,11.791,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",58.31511642
30.143422,-96.253308,1566243877,239AA0476,0,98597,476,Single Roadbed,County roads,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",143.649168
30.143587,-96.252577,1566233517,FM2447-KG,1.792,174352,2447,Single Roadbed,Farm to Market,444,1.776,129901,11.858,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",98.28194399
31.05763,-97.46302,1575321076,SH0317-KG,43.795,154211,317,Single Roadbed,State Highway,388,1.906,1505,20.3,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",83.55607897
31.05763,-97.46302,240825,1027944,0.015,203331,1027944,Single Roadbed,Local City Street,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",121.4685002
31.05763,-97.46302,241130,1028206,0.549,203584,1028206,Single Roadbed,Local City Street,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",145.4084646
32.73595,-96.277603,469496,1239968,0.248,408919,1239968,Single Roadbed,Local City Street,,,LX3573,0.248,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",24.24255558
32.73595,-96.277603,469434,1239919,0.985,408871,1239919,Single Roadbed,Local City Street,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",74.76164425
32.73595,-96.277603,469282,1239775,0,408731,1239775,Single Roadbed,Local City Street,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",78.2671085
30.143248,-96.253624,1566233517,FM2447-KG,1.705,174352,2447,Single Roadbed,Farm to Market,444,1.689,129901,11.772,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",3.592099448
28.401929,-97.749073,1571082240,BU0181J-KG,5.893,160002,181,Single Roadbed,Business US,570,1.879,10107,11.306,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",59.23594822
28.401929,-97.749073,1599346998,260366,3.761,165376,260366,Single Roadbed,Local City Street,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",102.957404
28.401929,-97.749073,1599346994,1027311,0.185,202716,1027311,Single Roadbed,Local City Street,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",119.0907469
31.056012,-97.46357,1575321076,SH0317-KG,43.91,154211,317,Single Roadbed,State Highway,388,2.021,1505,20.416,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",103.089713
31.056012,-97.46357,48949,269721,0.019,170241,269721,Single Roadbed,Local City Street,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",120.7590622
31.056012,-97.46357,241164,1028227,0.019,203604,1028227,Single Roadbed,Local City Street,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",123.3597488
25.900709,-97.496332,7827,BU0077Z-LG,3.859,160051,77,Left Roadbed,Business US,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",20.95647206
25.900709,-97.496332,50759,265216,0.125,167834,265216,Single Roadbed,Local City Street,,,C01914,0.124,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",112.2784126
33.215126,-97.132962,1599249205,US0077-KG,4.841,154774,77,Single Roadbed,US Highway,238,0.166,19601,24.834,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",27.37739365
28.980649,-97.503959,1599252420,SH0072-KG,97.377,154286,72,Single Roadbed,State Highway,572,1.357,27001,0.359,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",92.71396614
28.980649,-97.503959,488318,1257824,0.511,426086,1257824,Single Roadbed,Local City Street,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",139.2141593
29.706025,-96.539942,,,,,,,,,,,,,
29.703515,-98.124925,1672187344,BS0046C-KG,2.237,159962,46,Single Roadbed,Business State,514,0.255,21502,20.383,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",102.0291768
29.703515,-98.124925,2000000316,BS0046C-LG,2.249,159962,46,Left Roadbed,Business State,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",103.1237235
29.703515,-98.124925,2000000315,BS0046C-RG,2.245,159962,46,Right Roadbed,Business State,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",105.1604259
29.703066,-98.125239,2000000315,BS0046C-RG,2.249,159962,46,Right Roadbed,Business State,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",84.79324102
29.703066,-98.125239,1672187344,BS0046C-KG,2.241,159962,46,Single Roadbed,Business State,514,0.259,21502,20.387,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",88.38478904
29.703066,-98.125239,2000000316,BS0046C-LG,2.245,159962,46,Left Roadbed,Business State,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",88.46400178
31.508663,-99.920326,411507,1184819,0.471,355476,1184819,Single Roadbed,Local City Street,,,LR9954,0.471,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",81.04237477
31.508663,-99.920326,7539,US0083-KG,384.07,154779,83,Single Roadbed,US Highway,402,0.795,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",91.79632597
31.508663,-99.920326,411471,1184785,0,355442,1184785,Single Roadbed,Local City Street,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",121.4373219
33.495091,-97.289176,3498,FM0922-KG,17.603,176038,922,Single Roadbed,Farm to Market,560,0.861,84503,13.74,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",110.5314511
31.434693,-97.750772,321812,1104888,0.266,277973,1104888,Single Roadbed,Local City Street,,,LK2169,0.266,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",51.59474427
31.434693,-97.750772,1629331743,US0084-KG,393.198,154780,84,Single Roadbed,US Highway,646,0.026,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",97.8462003
31.434693,-97.750772,321762,1104845,0,277934,1104845,Single Roadbed,Local City Street,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",106.1899883
32.222087,-98.199516,2312,BU0377J-KG,2.156,160005,377,Single Roadbed,Business US,506,0.238,7907,2.156,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",46.64650214
32.222087,-98.199516,464054,1234766,0.268,403805,1234766,Single Roadbed,Local City Street,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",76.01538973
32.22012,-98.202293,464047,1234759,0.256,403798,1234759,Single Roadbed,Local City Street,,,LW8446,0.256,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",118.0374564
32.22012,-98.202293,1632441727,SH0108-KG,34.41,154063,108,Single Roadbed,State Highway,522,1.29,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",128.9363864
32.22012,-98.202293,464108,1234821,0.299,403860,1234821,Single Roadbed,Local City Street,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",134.7572636
32.22012,-98.202293,2312,BU0377J-KG,1.947,160005,377,Single Roadbed,Business US,506,0.029,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",140.0809133
32.754212,-97.331238,1670284943,1092391,0.222,265856,1092391,Single Roadbed,Local City Street,,,R81235,0.222,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",72.87081569
32.754212,-97.331238,45088,267726,0.283,169185,267726,Single Roadbed,Local City Street,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",85.58451339
32.754212,-97.331238,1672272156,BU0287P-KG,16.679,160022,287,Single Roadbed,Business US,270,0.752,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",124.5405989
29.904675,-96.878316,1571661033,BS0071E-KG,2.295,159976,71,Single Roadbed,Business State,636,1.439,26514,25.453,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",15.02666159
32.757329,-97.332995,1672272156,BU0287P-KG,16.449,160022,287,Single Roadbed,Business US,270,0.522,1401,17.824,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",8.426366694
32.757329,-97.332995,44880,201871,0.653,160179,201871,Single Roadbed,Local City Street,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",82.21985578
32.757329,-97.332995,1670284959,1092391,0,265856,1092391,Single Roadbed,Local City Street,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",85.37742655
30.275437,-98.873683,313668,1096981,0.055,270240,1096981,Single Roadbed,Local City Street,,,LJ4398,0.055,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",107.4477508
30.275437,-98.873683,313623,1096939,0.038,270198,1096939,Single Roadbed,Local City Street,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",127.0185655
29.500923,-97.452118,2274,BU0183V-KG,2.046,160041,183,Single Roadbed,Business US,576,0.843,15303,2.046,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",136.6665229
32.755323,-97.331431,1672272156,BU0287P-KG,16.614,160022,287,Single Roadbed,Business US,270,0.687,1401,17.989,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",30.43897666
32.755323,-97.331431,45299,251699,19.068,161067,251699,Single Roadbed,Local City Street,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",39.15766067
32.755323,-97.331431,1670284959,1092391,0.149,265856,1092391,Single Roadbed,Local City Street,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",76.73618083
30.409378,-96.050166,6788,SH0090-KG,40.371,154302,90,Single Roadbed,State Highway,430,1.295,31504,33.13,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",126.6938685
30.409378,-96.050166,1506716148,094AA0545,0,109836,545,Single Roadbed,County roads,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",128.2332526
30.018336,-96.731703,6969,SH0237-KG,11.605,154166,237,Single Roadbed,State Highway,456,1.195,26701,10.245,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",105.5712731
33.178983,-99.17782,471788,1242013,0.014,410926,1242013,Single Roadbed,Local City Street,,,LX5581,0.014,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",65.91824468
33.178983,-99.17782,7626,US0380-KG,238.83,154761,380,Single Roadbed,US Highway,470,1.162,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",123.1333422
33.178983,-99.17782,7570,US0183-KG,75.741,154747,183,Single Roadbed,US Highway,262,1.744,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",138.7937757
33.178485,-99.179052,471799,1242023,0.51,410936,1242023,Single Roadbed,Local City Street,,,LX5591,0.51,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",59.67559472
33.178485,-99.179052,7626,US0380-KG,238.759,154761,380,Single Roadbed,US Highway,470,1.091,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",60.58004263
33.178485,-99.179052,471781,1242006,0,410919,1242006,Single Roadbed,Local City Street,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",91.76627727
29.884012,-97.941406,1635379324,SL0082-RG,2.093,154519,82,Right Roadbed,State Loop,466,0.04,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",66.07396129
29.884012,-97.941406,1490386796,1226393,0.012,395734,1226393,Single Roadbed,Local City Street,,,LW0351,0.012,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",75.00520083
29.884012,-97.941406,1490387133,1226751,0.542,396084,1226751,Single Roadbed,Local City Street,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",99.49874921
29.884012,-97.941406,1631145967,SL0082-KG,2.034,154519,82,Single Roadbed,State Loop,466,0.043,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",144.7017576
29.885808,-97.940352,499542,1226572,0.021,395909,1226572,Single Roadbed,Local City Street,,,LW0526,0.021,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",65.08833514
29.885808,-97.940352,1631145967,SL0082-KG,1.91,154519,82,Single Roadbed,State Loop,464,1.852,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",118.7513508
29.885808,-97.940352,1635379324,SL0082-RG,1.922,154519,82,Right Roadbed,State Loop,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",134.5436625
29.885808,-97.940352,1635379322,SL0082-LG,1.922,154519,82,Left Roadbed,State Loop,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",134.626197
29.883289,-97.94131,1635379324,SL0082-RG,2.143,154519,82,Right Roadbed,State Loop,466,0.09,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",56.65463085
29.883289,-97.94131,1490375949,SH0080-KG,0.009,154293,80,Single Roadbed,State Highway,,,28601,5.009,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",90.85257134
29.883289,-97.94131,1490372706,298695,3.131,1490372706,298695,Single Roadbed,Local City Street,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",100.6431665
29.883289,-97.94131,1631145967,SL0082-KG,2.083,154519,82,Single Roadbed,State Loop,466,0.092,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",143.8200793
31.922929,-97.656968,394753,1169377,0.21,340547,1169377,Single Roadbed,Local City Street,,,LQ4975,0.21,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",28.74926828
31.922929,-97.656968,394764,1169388,0.271,340558,1169388,Single Roadbed,Local City Street,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",106.2506306
31.922929,-97.656968,394728,1169353,0,340523,1169353,Single Roadbed,Local City Street,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",111.1001985
31.922929,-97.656968,6686,SH0022-KG,32.618,154157,22,Single Roadbed,State Highway,544,1.312,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",133.4457357
31.922929,-97.656968,6861,SH0144-KG,39.9,154092,144,Single Roadbed,State Highway,332,1.498,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",135.0129663
30.096721,-98.422759,1636329637,US0281-KG,284.849,154754,281,Single Roadbed,US Highway,488,0.366,25301,28.351,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",32.14367393
30.096721,-98.422759,242692,1029667,0.25,204991,1029667,Single Roadbed,Local City Street,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",127.0002112
31.923267,-97.657387,6686,SH0022-KG,32.609,154157,22,Single Roadbed,State Highway,544,1.303,12101,15.275,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",39.33062149
31.923267,-97.657387,6861,SH0144-KG,39.892,154092,144,Single Roadbed,State Highway,332,1.49,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",67.66503367
31.923267,-97.657387,394753,1169377,0.237,340547,1169377,Single Roadbed,Local City Street,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",78.59612446
29.883272,-97.936951,1490375949,SH0080-KG,0.268,154293,80,Single Roadbed,State Highway,,,28601,5.268,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",128.2530425
32.011295,-97.130895,335307,1117812,0.032,290579,1117812,Single Roadbed,Local City Street,,,LL4859,0.032,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",134.1391134
32.348545,-97.386545,1634256444,SH0171-KG,39.242,154118,171,Single Roadbed,State Highway,308,1.338,1901,25.639,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",44.20858233
32.348545,-97.386545,1550254059,1044910,0.03,219840,1044910,Single Roadbed,Local City Street,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",67.85771129
32.348545,-97.386545,1634515324,SH0171-LG,39.259,154118,171,Left Roadbed,State Highway,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",117.3736876
32.348545,-97.386545,258468,1045080,0,220004,1045080,Single Roadbed,Local City Street,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",127.4139618
29.794712,-98.73082,6469,RM0474-KG,15.658,154026,474,Single Roadbed,Ranch to Market,476,1.838,104201,15.658,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",94.91406373
29.794712,-98.73082,243083,1030061,0.076,205374,1030061,Single Roadbed,Local City Street,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",113.2222801
29.794712,-98.73082,243261,1030256,0.02,205564,1030256,Single Roadbed,Local City Street,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",124.1444832
33.164477,-101.795974,467203,1237832,0.605,406834,1237832,Single Roadbed,Local City Street,,,LX1483,0.605,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",142.7037942
